,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
374,0.991,0.998,0.99,0.997,,,,,,,,,,,,,,,
375,0.99,0.997,0.989,0.997,,,,,,,,,,,,,,,
376,0.991,0.998,0.989,0.998,,,,,,,,,,,,,,,
377,0.99,0.998,0.988,0.997,,,,,,,,,,,,,,,
378,0.993,0.997,0.991,0.998,,,,,,,,,,,,,,,
379,0.992,0.998,0.99,0.997,,,,,,,,,,,,,,,
380,0.986,0.998,0.991,0.997,,,,,,,,,,,,,,,
381,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
382,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
383,0.988,0.997,0.988,0.998,,,,,,,,,,,,,,,
384,0.991,0.997,0.988,0.997,,,,,,,,,,,,,,,
385,0.988,0.997,0.989,0.998,,,,,,,,,,,,,,,
386,0.99,0.998,0.99,0.997,,,,,,,,,,,,,,,
387,0.992,0.998,0.99,0.998,,,,,,,,,,,,,,,
388,0.99,0.997,0.989,0.997,,,,,,,,,,,,,,,
389,0.992,0.997,0.991,0.997,,,,,,,,,,,,,,,
390,0.991,0.997,0.991,0.997,,,,,,,,,,,,,,,
391,0.992,0.998,0.989,0.997,,,,,,,,,,,,,,,
392,0.99,0.998,0.988,0.998,,,,,,,,,,,,,,,
393,0.991,0.998,0.991,0.997,,,,,,,,,,,,,,,
394,0.991,0.997,0.987,0.997,,,,,,,,,,,,,,,
395,0.989,0.997,0.992,0.997,,,,,,,,,,,,,,,
396,0.989,0.998,0.992,0.998,,,,,,,,,,,,,,,
397,0.989,0.997,0.99,0.998,,,,,,,,,,,,,,,
398,0.99,0.997,0.989,0.998,,,,,,,,,,,,,,,
399,0.989,0.997,0.988,0.997,,,,,,,,,,,,,,,
400,0.991,0.998,0.989,0.997,,,,,,,,,,,,,,,
401,0.989,0.998,0.992,0.998,,,,,,,,,,,,,,,
402,0.991,0.997,0.987,0.997,,,,,,,,,,,,,,,
403,0.993,0.997,0.988,0.997,,,,,,,,,,,,,,,
404,0.992,0.998,0.99,0.997,,,,,,,,,,,,,,,
405,0.992,0.997,0.988,0.997,,,,,,,,,,,,,,,
406,0.991,0.998,0.992,0.998,,,,,,,,,,,,,,,
407,0.989,0.998,0.988,0.997,,,,,,,,,,,,,,,
408,0.991,0.998,0.991,0.998,,,,,,,,,,,,,,,
409,0.991,0.998,0.988,0.997,,,,,,,,,,,,,,,
410,0.991,0.997,0.989,0.998,,,,,,,,,,,,,,,
411,0.991,0.997,0.991,0.998,,,,,,,,,,,,,,,
412,0.989,0.998,0.991,0.997,,,,,,,,,,,,,,,
